State,County,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,Percent_Excessive_Drinking,Percent_Uninsured,Primary_Care_Physicians_Rate,Dentist_Rate,Mental_Health_Provider_Rate,Preventable_Hospitalization_Rate,Percent_Vaccinated,High_School_Graduation_Rate,Percent_Some_College,Percent_Unemployed,Percent_Single_Parent_Households,Social_Association_Rate,Violent_Crime_Rate,Polution_Average_Daily_PM2.5,Presence_of_Water_Violation,Percent_Severe_Housing_Problems,Percent_Drive_Alone_to_Work,Percent_Long_Commute,Percent_Adults_with_Diabetes,Percent_Limited_Access_to_Healthy_Foods,Median_Household_Income,Household_Income_(AIAN),Household_Income_(Asian),Household_Income_(Black),Household_Income_(Hispanic),Household_Income_(White),Population,Population_Black,Population_AIAN,Population_Asian,Population_NHPI,Population_Hispanic,Population_NHW,%_Insufficient_Sleep,Average_Traffic_Volume_per_Meter_of_Major_Roadways,%_Homeowners,%_Severe_Housing_Cost_Burden,%_Children_in_Poverty,Teen_Birth_Rate
Alabama,Autauga,21,4.7,4.7,18,33,7.2,35,69,15,9,45,32,23,7108,41,90,62,3.6,26,12.1,272,11.7,0,15,87,40,11,12,59338,,,27643,83423,65047,55601,10755,267,681,62,1649,41316,36,88,75,13,19,25
Alabama,Baldwin,18,4.2,4.3,17,31,8,27,74,18,11,73,50,96,4041,44,86,67,3.6,24,10.2,204,10.3,0,14,84,42,11,5,57588,53289,34763,31112,43279,59418,218022,19151,1684,2508,146,10131,181201,33,87,74,12,14,28
Alabama,Barbour,30,5.4,5.2,22,42,5.6,24,53,13,12,32,36,8,6209,37,81,35,5.2,57,7.5,414,11.5,0,15,83,32,18,11,34382,,50417,23013,30417,47031,24881,11951,164,113,46,1064,11356,39,102,61,14,44,41
Alabama,Bibb,19,4.6,4.6,19,38,7.8,34,16,16,10,49,22,22,5961,38,84,44,4,29,8.4,89,11.2,0,10,85,50,15,3,46064,,,34000,42708,50769,22400,4731,98,53,26,588,16708,38,29,75,10,28,42
Alabama,Blount,22,4.9,4.9,19,34,8.4,30,16,14,13,22,19,16,4060,39,93,53,3.5,29,8.4,483,11.7,0,11,86,59,17,3,50412,65385,99219,,35495,49872,57840,846,378,185,70,5536,50255,36,33,79,8,18,34
Alabama,Bullock,31,5.4,4.9,23,37,4.3,25,3,12,11,29,20,20,6632,28,70,35,4.7,75,7.8,311,11.2,0,18,79,46,24,20,29267,,,21875,,63636,10138,7050,85,19,76,807,2151,45,4,76,19,68,48
Alabama,Butler,28,5.4,5.3,22,43,6.6,40,49,12,11,25,30,51,9203,35,82,42,4.8,53,9.1,582,10.6,1,13,84,32,19,3,37365,,96618,26260,8558,49094,19680,8769,74,259,10,297,10087,42,19,70,12,36,38
Alabama,Calhoun,23,4.9,4.8,21,39,6.9,32,48,14,12,64,59,116,6581,38,92,59,4.7,40,14.5,756,11.8,0,14,85,31,18,9,45400,51333,38750,28478,36766,51481,114277,23827,617,1102,126,4469,82308,41,110,69,12,27,34
Alabama,Chambers,24,4.9,4.9,19,40,6.4,30,62,13,12,42,18,6,5622,42,86,48,3.9,47,17.8,529,11.4,0,16,85,32,20,10,39917,,71563,31185,,48000,33615,13300,103,446,15,861,18566,37,20,68,12,31,45
Alabama,Cherokee,21,4.8,4.7,17,35,8.3,31,33,14,11,39,15,19,5521,41,95,52,3.6,24,8.5,330,11.4,0,13,83,46,15,0,42132,,,35096,20995,41483,26032,1104,172,88,8,422,23860,35,26,79,10,25,37
Alabama,Chilton,21,4.8,4.9,20,38,8.1,33,46,15,14,20,29,52,6148,42,88,40,3.6,35,15.2,508,11.2,0,13,84,50,19,1,47547,,64489,30828,36355,47778,44153,4401,250,215,77,3500,35384,35,29,75,12,23,47
Alabama,Choctaw,25,4.9,5,19,41,6.4,36,29,12,11,39,47,0,4968,34,79,58,5.5,48,19.3,128,10.1,1,11,82,44,17,7,39907,,,26250,,50106,12841,5331,24,23,0,134,7241,38,17,80,9,32,30
Alabama,Clarke,25,5.1,5.1,21,34,5.4,35,25,12,12,54,29,71,6299,28,91,38,7.5,37,16.2,475,10.4,0,12,88,35,22,11,40741,,181281,22948,,48177,23920,10603,126,104,5,326,12560,41,66,67,13,32,39
Alabama,Clay,24,5,5,20,41,7.8,33,64,13,14,37,15,15,5249,43,90,35,3.9,30,10.5,309,10.6,1,11,90,37,14,2,39201,13182,,29955,30324,45000,13275,1836,72,32,0,400,10690,39,37,72,8,26,39
Alabama,Cleburne,19,4.5,4.9,18,37,8,31,41,14,13,27,0,40,6416,34,98,45,4.2,25,8.1,103,11,0,13,81,56,13,2,46495,,,18693,17614,41973,14987,430,74,33,11,372,13907,34,41,76,10,23,39
Alabama,Coffee,19,4.4,4.6,17,34,7.5,31,54,15,12,54,35,65,4863,37,93,64,3.9,36,14.7,276,10.9,0,12,87,27,16,6,55122,33688,48509,37154,62763,58598,51909,8922,732,849,206,3935,36261,37,58,65,9,22,26
Alabama,Colbert,21,4.6,4.6,19,31,7.4,37,56,15,10,64,46,35,6414,45,92,55,4.6,36,16.9,400,10.7,0,14,90,28,16,7,49055,80792,103036,30676,31790,51330,54762,8761,363,323,41,1465,42932,37,81,73,12,21,33
Alabama,Conecuh,29,5.4,5.4,21,43,5.6,41,37,12,12,40,16,65,12070,44,80,36,5.2,51,7.2,387,10.3,0,13,89,34,26,13,32613,13672,,29031,,36542,12277,5606,63,26,4,264,6176,42,34,77,9,40,38
Alabama,Coosa,25,5.1,5.1,20,40,6.9,35,6,13,13,0,0,9,4956,39,83,43,4.2,40,10.2,255,11,1,15,84,41,21,10,42423,,,29795,,45639,10715,3265,64,15,18,270,7006,37,24,82,10,30,40
Alabama,Covington,23,4.7,4.9,19,32,7.6,36,50,14,12,51,38,65,9181,39,95,54,4.6,36,12.7,331,10.5,0,13,88,29,15,4,40203,,33250,20903,29688,45148,36986,4602,256,172,4,647,30768,36,42,74,10,30,47
Alabama,Crenshaw,22,4.7,4.9,19,38,6.2,34,22,15,12,14,14,58,7057,36,89,45,4.1,41,10.1,332,10.7,0,10,82,41,18,17,39057,,63021,25313,58839,45254,13824,3210,87,155,6,320,9808,38,58,74,9,31,38
Alabama,Cullman,22,4.7,4.9,18,37,8.2,37,42,15,13,56,49,135,6442,41,91,50,3.3,25,11.7,129,11.6,0,12,88,33,19,3,45796,,,38819,40561,43054,83442,1006,539,561,72,3699,76646,35,51,75,10,20,42
Alabama,Dale,23,5,4.8,20,37,6.7,32,46,15,10,18,35,94,5120,41,90,58,4.2,33,10.6,437,11,0,14,86,25,16,11,45309,52404,67727,29792,43849,52019,48956,10012,392,695,104,3250,33470,41,41,60,13,24,33
Alabama,Dallas,30,5.6,5.6,24,43,4.6,27,60,11,10,74,31,60,7183,34,86,51,6.5,68,12,925,11.1,0,21,86,27,16,12,34035,,170568,24396,80409,53185,38310,26839,111,223,17,426,10413,42,61,60,17,48,39
Alabama,DeKalb,26,5.3,5,21,29,8.2,32,45,12,17,42,28,27,5868,40,93,46,3.8,34,8.5,312,11.3,0,11,86,32,13,2,39491,48264,68096,35101,26456,40935,71385,1034,1449,368,457,10595,57199,36,53,71,10,30,41
Alabama,Elmore,19,4.3,4.7,17,34,7.6,26,52,16,9,26,16,17,6334,39,86,55,3.4,31,10.9,239,11.9,0,11,87,46,16,7,60367,60972,78438,40899,45700,64693,81887,17372,425,581,95,2467,59771,38,57,74,10,16,30
Alabama,Escambia,26,5.2,5.2,22,39,6.6,32,48,13,14,35,38,57,7412,35,88,38,4.6,46,14.4,446,10.2,0,12,92,29,19,7,38418,32075,,22506,,42240,36748,11540,1423,112,23,907,22106,40,36,69,11,33,45
Alabama,Etowah,21,4.9,4.8,20,36,7.1,34,49,14,12,81,52,121,7421,36,90,55,4.1,37,15.8,604,11.5,0,11,85,29,16,9,44903,25625,,29107,27276,48352,102501,15871,624,852,318,4116,79629,41,140,72,9,29,40
Alabama,Fayette,22,4.9,5,18,41,7.9,34,34,14,11,97,30,12,5911,45,92,52,4.1,36,7.9,0,10.6,1,12,86,41,23,1,39254,,,30353,,39471,16433,1948,77,72,0,297,13829,39,34,78,10,37,40
Alabama,Franklin,25,5.2,5.2,19,34,7.9,38,58,13,15,44,26,10,8122,38,92,41,3.7,42,9.5,264,10.5,0,13,83,38,15,4,39388,,,39519,34941,40878,31363,1218,485,107,78,5567,23891,38,41,71,8,30,47
Alabama,Geneva,23,5,5,20,39,7.8,37,20,14,14,30,8,19,6845,46,90,43,3.9,41,8.7,414,10.6,0,10,84,41,17,1,37823,35682,,25867,37396,40057,26314,2451,270,90,19,1064,22020,37,45,71,12,30,46
Alabama,Greene,34,5.9,5.5,25,36,3.2,18,6,10,11,48,12,12,7121,30,78,50,6.7,77,9.6,669,10.5,0,19,82,42,15,21,28524,,,17617,,53608,8233,6554,27,22,0,137,1443,45,35,69,19,44,45
Alabama,Hale,28,5.4,5.3,22,40,6.1,28,30,11,11,20,14,14,6986,33,91,47,5.1,59,6.1,209,10.8,0,17,88,50,18,5,34724,,,23618,,53008,14726,8512,37,42,2,200,5850,42,43,71,14,36,37
Alabama,Henry,21,4.7,4.8,18,36,7.9,35,25,14,12,29,29,12,4872,42,98,53,4.4,25,14,197,10.9,0,11,87,37,17,2,46027,,,32035,52721,53848,17209,4445,85,64,4,460,11929,38,29,83,9,27,30
Alabama,Houston,20,4.7,4.8,19,38,7.1,31,67,14,11,84,67,144,4859,45,91,59,4,42,12,488,10.7,0,13,88,26,14,6,47993,39402,50417,28002,38819,54264,104722,28191,566,1110,99,3601,69450,37,140,66,12,22,35
Alabama,Jackson,23,5,5.1,20,39,7.9,29,47,13,13,54,35,46,5903,42,90,45,4.1,31,9.1,317,11,0,11,86,37,17,3,41929,,29018,29000,,40172,51736,1766,870,303,57,1528,46080,38,30,74,10,27,39
Alabama,Jefferson,20,4.4,4.7,18,35,6.3,30,79,15,10,108,88,177,4653,44,89,68,3.7,43,14.4,873,13.4,0,17,84,33,13,12,55013,47560,74185,36475,42726,68571,659300,284330,1892,11676,376,26246,327671,36,419,63,15,23,30
Alabama,Lamar,24,5.2,5.1,20,36,7.8,37,10,13,12,0,22,14,5184,40,94,53,3.8,21,7.9,162,10.3,0,11,88,45,19,1,40936,,,19359,,40542,13844,1439,40,14,2,234,11902,38,29,76,7,25,42
